sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,79,細懸浮微粒,普通,1.4,0.32,82.5,62.0,62,31,8.2,8.6,0.4,1,320,"2024-11-21 16:00",,0.3,26.7,53,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,34,,良好,0,0.14,38,37.9,7,0,4.7,5.3,0.6,1.2,53,"2024-11-21 16:00",,0.1,0.9,4,0,121.82463916,24.85366672,312
新北(樹林),新北市,35,,良好,0.5,0.33,19.8,21.9,12,3,21.9,27.7,5.8,0,162,"2024-11-21 16:00",,0.2,2.7,7,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,93,細懸浮微粒,普通,1.2,0.34,71.3,47.7,63,28,7.2,8,0.8,2.9,319,"2024-11-21 16:00",,0.4,32.6,63,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,55,懸浮微粒,普通,1.1,0.22,43,34.6,99,12,7,8.2,1.2,3,2,"2024-11-21 16:00",,0.2,13.2,55,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,57,細懸浮微粒,普通,1.7,0.24,51.7,37.9,72,16,9.3,10.7,1.4,1.3,249,"2024-11-21 16:00",,0.3,18.1,44,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,30,,良好,1.4,,32.4,32.0,25,4,9,11.2,2.1,2,346,"2024-11-21 16:00",,0.2,4.3,18,1,120.56373,23.96117,201
大城,彰化縣,43,,良好,1,0.13,46.2,46.1,21,6,0.9,4,3,8.5,51,"2024-11-21 16:00",,0.1,7,17,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.15,45.3,45.4,25,5,1.8,1.8,0,11.3,41,"2024-11-21 16:00",,0.1,4.5,27,0,121.53656894,25.29681695,84
麥寮,雲林縣,47,,良好,1.3,0.17,,41.7,91,20,5.6,7.1,1.4,6.8,359,"2024-11-21 16:00",,0.1,10.3,47,2,120.251825,23.753506,83
關山,臺東縣,34,,良好,1,0.15,39.5,37.1,22,0,2.8,3.6,0.7,3.3,19,"2024-11-21 16:00",,0.1,1.7,19,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.9,0.2,38.8,40.9,14,5,4,5.2,1.2,8.5,36,"2024-11-21 16:00",,0.1,4.5,14,1,119.566158,23.569031,78
金門,金門縣,21,,良好,1,0.24,37.7,23.8,16,7,9.4,9.7,0.2,2.6,67,"2024-11-21 16:00",,0.2,6.6,10,1,118.312256,24.432133,77
馬祖,連江縣,45,,良好,0.7,0.22,37.6,30.8,23,15,4.4,5,0.5,2.7,328,"2024-11-21 16:00",,0.2,14,21,0,119.952724,26.153736,75
埔里,南投縣,41,,良好,1.3,0.25,44.7,29.6,20,12,5.3,6.6,1.2,1.5,292,"2024-11-21 16:00",,0.2,12.7,18,1,120.967903,23.968842,72
復興,高雄市,108,細懸浮微粒,對敏感族群不健康,0.7,0.33,59.3,45.1,75,35,14.2,15.4,1.2,0.9,249,"2024-11-21 16:00",,0.5,38.2,54,1,120.312017,22.608711,71
永和,新北市,25,,良好,0.9,0.35,28.8,27.3,7,2,14.1,18.1,4,1.4,84,"2024-11-21 16:00",,0.3,2.5,5,1,121.516306,25.017,70
竹山,南投縣,48,,良好,1.1,0.22,42.3,34.5,23,9,11.7,12.4,0.7,2.8,15,"2024-11-21 16:00",,0.2,14.7,24,1,120.677306,23.756389,69
中壢,桃園市,45,,良好,1.1,0.53,13.2,15.6,16,12,27.6,49.8,22.2,1.6,38,"2024-11-21 16:00",,0.4,7.5,13,0,121.221667,24.953278,68
三重,新北市,58,二氧化氮,普通,0.7,1,5.5,7.6,9,8,41.4,102.1,60.7,-,-,"2024-11-21 16:00",,0.9,4.4,9,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.5,0.21,29.5,33.5,6,4,14.4,18.8,4.4,1.2,61,"2024-11-21 16:00",,0.1,1,2,0,121.792928,24.632203,66
宜蘭,宜蘭縣,32,,良好,0.4,0.22,35.6,35,5,2,5.3,6.5,1.2,0.5,25,"2024-11-21 16:00",,0.2,2.3,3,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.18,41.4,42.1,5,0,1.2,1.7,0.4,1.4,10,"2024-11-21 16:00",,0.1,0.4,2,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,,,37.9,39.0,13,,,,,3.2,72,"2024-11-21 16:00",,0.2,0.3,14,1,121.599769,23.971306,63
臺東,臺東縣,36,,良好,1.4,0.17,43.3,39.2,26,4,3.2,4.4,1.1,3.7,5,"2024-11-21 16:00",,0.2,3.6,23,1,121.15045,22.755358,62
恆春,屏東縣,39,,良好,0.2,0.13,,42.9,,,1.1,1.6,0.4,8.8,28,"2024-11-21 16:00",,0.1,3.9,8,0,120.788928,21.958069,61
潮州,屏東縣,152,細懸浮微粒,對所有族群不健康,,0.72,107,81,96,67,15.7,16.5,0.7,2.5,189,"2024-11-21 16:00",,0.5,56.7,76,1,120.561175,22.523108,60
屏東,屏東縣,70,細懸浮微粒,普通,0.9,0.31,63.9,47.0,37,24,6.7,7.8,1.1,2.6,329,"2024-11-21 16:00",,0.3,23.3,46,0,120.488033,22.673081,59
小港,高雄市,91,細懸浮微粒,普通,1.2,0.38,70.1,42.3,55,33,16.8,18.1,1.3,3.2,292,"2024-11-21 16:00",,0.5,31.9,56,2,120.337736,22.565833,58
前鎮,高雄市,100,細懸浮微粒,普通,0.8,0.33,56.7,45.3,73,29,12.5,13.9,1.4,2.6,356,"2024-11-21 16:00",,0.5,35.2,61,1,120.30833356,22.6044507,57
前金,高雄市,88,細懸浮微粒,普通,,,47.2,,94,,,,,3.6,343,"2024-11-21 16:00",,0.4,30.6,75,1,120.28676111,22.63390278,56
左營,高雄市,83,細懸浮微粒,普通,1.4,0.32,64.7,46.3,58,28,10.4,11.6,1.1,2.1,321,"2024-11-21 16:00",,0.4,28.4,56,1,120.292917,22.674861,54
楠梓,高雄市,84,細懸浮微粒,普通,1.6,0.29,63.7,43.5,59,28,10.8,11.8,1,2.6,35,"2024-11-21 16:00",,0.3,28.7,49,1,120.328289,22.733667,53
林園,高雄市,112,細懸浮微粒,對敏感族群不健康,2.5,0.3,66.8,54.2,66,31,14.1,14.5,0.4,1.9,230,"2024-11-21 16:00",,0.5,39.7,68,3,120.41175,22.4795,52
大寮,高雄市,109,細懸浮微粒,對敏感族群不健康,1.6,0.32,69.1,54.2,41,39,14.6,15.5,0.8,2.3,336,"2024-11-21 16:00",,0.5,38.6,45,2,120.425311,22.56413611,51
鳳山,高雄市,100,細懸浮微粒,普通,1.5,0.59,59.3,45.2,56,33,18.3,20.7,2.3,1.1,258,"2024-11-21 16:00",,0.6,35.3,58,2,120.357422,22.628126,50
仁武,高雄市,95,細懸浮微粒,普通,0.9,0.31,62.5,44.7,45,30,12.7,13.7,0.9,3.4,343,"2024-11-21 16:00",,0.5,33.3,48,1,120.332631,22.689056,49
橋頭,高雄市,84,細懸浮微粒,普通,1.3,0.29,58.1,42.1,59,30,13.5,14.7,1.1,2.7,352,"2024-11-21 16:00",,0.3,28.9,48,1,120.305689,22.757506,48
美濃,高雄市,52,細懸浮微粒,普通,1.5,0.3,60.9,38.9,42,19,6,7.1,1,1.4,315,"2024-11-21 16:00",,0.2,16,36,1,120.530542,22.883583,47
臺南,臺南市,52,細懸浮微粒,普通,1.4,0.22,51.9,40.7,75,13,7.9,9.4,1.4,3.6,359,"2024-11-21 16:00",,0.2,16,47,1,120.21947897,22.98928311,46
安南,臺南市,55,懸浮微粒,普通,1.6,0.22,51.1,40.3,89,15,5.8,6.6,0.8,4.5,316,"2024-11-21 16:00",,0.2,15.9,55,1,120.2175,23.048197,45
善化,臺南市,57,細懸浮微粒,普通,1.7,0.2,46.9,38.6,89,16,7.8,8.8,0.9,5.1,354,"2024-11-21 16:00",,0.2,18,49,1,120.29740529,23.11337642,44
新營,臺南市,54,細懸浮微粒,普通,2,0.26,,35.6,,20,9.5,12.4,2.8,4.6,14,"2024-11-21 16:00",,0.2,16.7,53,1,120.31725,23.305633,43
嘉義,嘉義市,52,細懸浮微粒,普通,2,0.25,38.5,35,82,16,12.1,13.9,1.7,4.4,11,"2024-11-21 16:00",,0.2,15.8,36,3,120.44125148,23.46477865,42
臺西,雲林縣,40,,良好,0.8,0.16,44.7,43.2,34,5,3,3.4,0.3,10.4,23,"2024-11-21 16:00",,0.1,6,29,0,120.19933333,23.702175,41
朴子,嘉義縣,70,懸浮微粒,普通,2.8,0.21,41.9,39.3,129,11,6.7,8.4,1.7,3,342,"2024-11-21 16:00",,0.2,8.5,70,1,120.2478,23.46538,40
新港,嘉義縣,107,懸浮微粒,對敏感族群不健康,2.5,0.23,41.1,41.0,332,29,7.9,9.2,1.2,4.6,18,"2024-11-21 16:00",,0.2,16,120,1,120.345531,23.554839,39
崙背,雲林縣,118,懸浮微粒,對敏感族群不健康,1.1,0.23,35.5,35.5,386,29,7.6,9,1.3,3,9,"2024-11-21 16:00",,0.2,17.4,154,0,120.348742,23.757547,38
斗六,雲林縣,39,,良好,1.5,0.21,39.7,38.9,66,14,9.3,11.5,2.2,3.2,342,"2024-11-21 16:00",,0.2,12,30,1,120.544994,23.711853,37
南投,南投縣,31,,良好,1.8,0.24,31.6,33.1,29,7,12.8,15.7,2.8,2.6,343,"2024-11-21 16:00",,0.2,7.8,21,1,120.685306,23.913,36
二林,彰化縣,23,,良好,1.6,0.2,,,24,6,6.9,8.7,1.7,6.7,32,"2024-11-21 16:00",,0.2,6.5,23,1,120.409653,23.925175,35
線西,彰化縣,32,,良好,1,0.18,36.8,36.0,18,6,8.2,10.6,2.4,8.1,36,"2024-11-21 16:00",,0.2,5,20,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.8,0.22,30.7,28.5,15,8,10.5,14.4,3.9,3.8,26,"2024-11-21 16:00",,0.2,6.1,15,0,120.541519,24.066,33
西屯,臺中市,29,,良好,1.2,0.18,31.7,32.0,16,5,,,,4.3,10,"2024-11-21 16:00",,0.1,5.5,15,1,120.616917,24.162197,32
忠明,臺中市,25,,良好,1.3,0.24,27.3,27.7,15,4,11,15,3.9,2,350,"2024-11-21 16:00",,0.2,5,11,1,120.641092,24.151958,31
大里,臺中市,26,,良好,1,0.24,27.8,28.1,13,8,9.8,12.8,2.9,2.9,6,"2024-11-21 16:00",,0.2,6,11,1,120.67844444,24.09961111,30
沙鹿,臺中市,31,,良好,1.1,0.18,35,33.7,18,6,6.7,8.1,1.4,5,30,"2024-11-21 16:00",,0.1,5.6,12,1,120.568794,24.225628,29
豐原,臺中市,10,,良好,1,0.2,30.4,,7,2,6.1,7.9,1.8,2.4,31,"2024-11-21 16:00",,0.2,1.5,6,1,120.74252414,24.25699731,28
三義,苗栗縣,26,,良好,0.8,0.17,31.9,28.5,3,2,5.2,6.3,1,6.1,14,"2024-11-21 16:00",,0.1,3.9,3,0,120.75956754,24.38248443,27
苗栗,苗栗縣,29,,良好,1.3,0.2,30.8,31.2,8,7,9.2,11,1.8,4.2,18,"2024-11-21 16:00",,0.1,4.5,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,30,,良好,1.2,0.21,30.5,32.8,14,6,10.4,12.7,2.2,2.8,23,"2024-11-21 16:00",,0.2,4.4,8,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,1.2,0.21,32.6,33.2,8,0,9.4,11.1,1.7,4.7,35,"2024-11-21 16:00",,0.2,1.3,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.7,0.15,37.8,37,3,4,3.8,4.6,0.7,5.6,34,"2024-11-21 16:00",,0.1,2.2,2,0,121.08895493,24.74091408,23
湖口,新竹縣,31,,良好,1.2,0.18,34.9,34.6,5,3,6.8,8.5,1.6,6.7,46,"2024-11-21 16:00",,0.1,2.3,6,1,121.03886894,24.90009696,22
龍潭,桃園市,28,,良好,0.7,0.22,28.1,30.6,7,2,12.3,14.4,2.1,4.4,61,"2024-11-21 16:00",,0.2,2.6,5,0,121.21645772,24.86400048,21
平鎮,桃園市,33,,良好,0.9,0.29,22.2,24.9,10,7,20.5,23.1,2.6,2.7,60,"2024-11-21 16:00",,0.2,4.3,7,0,121.203986,24.952786,20
觀音,桃園市,32,,良好,0.4,0.15,37,35.9,16,3,6.3,7.2,0.8,7.4,71,"2024-11-21 16:00",,0.1,4.5,14,0,121.08283092,25.03556747,19
大園,桃園市,29,,良好,1.3,0.2,33.6,31.5,8,3,12.3,14.6,2.3,7.1,35,"2024-11-21 16:00",,0.1,5.5,9,1,121.20251473,25.06100357,18
桃園,桃園市,28,,良好,0.6,0.36,22,26.2,9,7,17.6,19.9,2.3,2,43,"2024-11-21 16:00",,0.3,3.2,6,0,121.30500531,24.9947107,17
大同,臺北市,57,二氧化氮,普通,0.6,,,,18,6,39,91.5,52.4,-,-,"2024-11-21 16:00",,0.9,6.9,12,0,121.51342074,25.06331455,16
松山,臺北市,35,,良好,0.7,0.24,21,23.3,14,4,21.9,26,4.1,1.2,21,"2024-11-21 16:00",,0.2,4.7,9,0,121.578611,25.05,15
古亭,臺北市,30,,良好,0.3,0.26,24.5,26.7,7,8,18,22.3,4.2,1.3,51,"2024-11-21 16:00",,0.2,3.2,5,,121.529556,25.020608,14
萬華,臺北市,32,,良好,0.7,0.28,24,23.8,6,6,19.1,21.6,2.5,2.8,95,"2024-11-21 16:00",,0.2,3.8,6,0,121.507972,25.046503,13
中山,臺北市,35,,良好,0.8,0.36,21,21.9,14,2,21.6,26.2,4.5,2,79,"2024-11-21 16:00",,0.3,3.6,7,0,121.526528,25.062361,12
士林,臺北市,30,,良好,0.4,0.26,24.5,32.1,3,3,17.7,20,2.3,2.3,155,"2024-11-21 16:00",,0.2,1.6,5,0,121.51666356,25.10334003,11
淡水,新北市,33,,良好,1.1,0.19,37.1,36.4,6,3,3.7,4.8,1.1,3.3,10,"2024-11-21 16:00",,0.1,3.1,4,0,121.449239,25.1645,10
林口,新北市,27,,良好,0.4,0.21,25.5,28.4,3,1,16.9,23.2,6.3,4.3,56,"2024-11-21 16:00",,0.1,2.4,3,0,121.36548982,25.07798949,9
菜寮,新北市,33,,良好,,0.35,23,25,4,4,20,21.3,1.3,1.3,119,"2024-11-21 16:00",,0.3,3.8,3,0,121.481028,25.06895,8
新莊,新北市,35,,良好,0.5,0.32,18.8,24.6,18,5,21.6,24.4,2.8,1.9,55,"2024-11-21 16:00",,0.2,4.6,13,0,121.4325,25.037972,7
板橋,新北市,30,,良好,0.4,,,27.3,7,2,18.4,20.8,2.4,2,101,"2024-11-21 16:00",,0.3,1.8,4,0,121.458667,25.012972,6
土城,新北市,29,,良好,,,,31.6,12,3,,,,1.6,120,"2024-11-21 16:00",,0.2,1.7,9,1,121.451861,24.982528,5
新店,新北市,27,,良好,0.6,0.26,26.7,28.2,12,8,13.9,15.5,1.6,1.2,80,"2024-11-21 16:00",,0.2,8.3,6,0,121.537778,24.977222,4
萬里,新北市,41,,良好,0.7,0.18,44.8,44.8,25,6,2.6,3,0.4,7.8,34,"2024-11-21 16:00",,0.1,5.7,24,0,121.689881,25.179667,3
汐止,新北市,30,,良好,0.4,0.18,32.8,32.1,2,7,11.3,12.7,1.4,1.6,43,"2024-11-21 16:00",,0.1,4.4,3,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,0.6,0.19,41.8,40.3,4,1,3.3,4.1,0.8,1.5,80,"2024-11-21 16:00",,0.1,0.9,4,0,121.760056,25.129167,1
屏東(枋山),屏東縣,79,細懸浮微粒,普通,1.4,0.32,82.5,62.0,62,31,8.2,8.6,0.4,1,320,"2024-11-21 16:00",,0.3,26.7,53,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,34,,良好,0,0.14,38,37.9,7,0,4.7,5.3,0.6,1.2,53,"2024-11-21 16:00",,0.1,0.9,4,0,121.82463916,24.85366672,312
新北(樹林),新北市,35,,良好,0.5,0.33,19.8,21.9,12,3,21.9,27.7,5.8,0,162,"2024-11-21 16:00",,0.2,2.7,7,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,93,細懸浮微粒,普通,1.2,0.34,71.3,47.7,63,28,7.2,8,0.8,2.9,319,"2024-11-21 16:00",,0.4,32.6,63,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,55,懸浮微粒,普通,1.1,0.22,43,34.6,99,12,7,8.2,1.2,3,2,"2024-11-21 16:00",,0.2,13.2,55,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,57,細懸浮微粒,普通,1.7,0.24,51.7,37.9,72,16,9.3,10.7,1.4,1.3,249,"2024-11-21 16:00",,0.3,18.1,44,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,30,,良好,1.4,,32.4,32.0,25,4,9,11.2,2.1,2,346,"2024-11-21 16:00",,0.2,4.3,18,1,120.56373,23.96117,201
大城,彰化縣,43,,良好,1,0.13,46.2,46.1,21,6,0.9,4,3,8.5,51,"2024-11-21 16:00",,0.1,7,17,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.15,45.3,45.4,25,5,1.8,1.8,0,11.3,41,"2024-11-21 16:00",,0.1,4.5,27,0,121.53656894,25.29681695,84
麥寮,雲林縣,47,,良好,1.3,0.17,,41.7,91,20,5.6,7.1,1.4,6.8,359,"2024-11-21 16:00",,0.1,10.3,47,2,120.251825,23.753506,83
關山,臺東縣,34,,良好,1,0.15,39.5,37.1,22,0,2.8,3.6,0.7,3.3,19,"2024-11-21 16:00",,0.1,1.7,19,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.9,0.2,38.8,40.9,14,5,4,5.2,1.2,8.5,36,"2024-11-21 16:00",,0.1,4.5,14,1,119.566158,23.569031,78
金門,金門縣,21,,良好,1,0.24,37.7,23.8,16,7,9.4,9.7,0.2,2.6,67,"2024-11-21 16:00",,0.2,6.6,10,1,118.312256,24.432133,77
馬祖,連江縣,45,,良好,0.7,0.22,37.6,30.8,23,15,4.4,5,0.5,2.7,328,"2024-11-21 16:00",,0.2,14,21,0,119.952724,26.153736,75
埔里,南投縣,41,,良好,1.3,0.25,44.7,29.6,20,12,5.3,6.6,1.2,1.5,292,"2024-11-21 16:00",,0.2,12.7,18,1,120.967903,23.968842,72
復興,高雄市,108,細懸浮微粒,對敏感族群不健康,0.7,0.33,59.3,45.1,75,35,14.2,15.4,1.2,0.9,249,"2024-11-21 16:00",,0.5,38.2,54,1,120.312017,22.608711,71
永和,新北市,25,,良好,0.9,0.35,28.8,27.3,7,2,14.1,18.1,4,1.4,84,"2024-11-21 16:00",,0.3,2.5,5,1,121.516306,25.017,70
竹山,南投縣,48,,良好,1.1,0.22,42.3,34.5,23,9,11.7,12.4,0.7,2.8,15,"2024-11-21 16:00",,0.2,14.7,24,1,120.677306,23.756389,69
中壢,桃園市,45,,良好,1.1,0.53,13.2,15.6,16,12,27.6,49.8,22.2,1.6,38,"2024-11-21 16:00",,0.4,7.5,13,0,121.221667,24.953278,68
三重,新北市,58,二氧化氮,普通,0.7,1,5.5,7.6,9,8,41.4,102.1,60.7,-,-,"2024-11-21 16:00",,0.9,4.4,9,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.5,0.21,29.5,33.5,6,4,14.4,18.8,4.4,1.2,61,"2024-11-21 16:00",,0.1,1,2,0,121.792928,24.632203,66
宜蘭,宜蘭縣,32,,良好,0.4,0.22,35.6,35,5,2,5.3,6.5,1.2,0.5,25,"2024-11-21 16:00",,0.2,2.3,3,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.18,41.4,42.1,5,0,1.2,1.7,0.4,,,"2024-11-21 16:00",,0.1,0.4,2,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,,,37.9,39.0,13,,,,,3.2,72,"2024-11-21 16:00",,0.2,0.3,14,1,121.599769,23.971306,63
臺東,臺東縣,36,,良好,1.4,0.17,43.3,39.2,26,4,3.2,4.4,1.1,3.7,5,"2024-11-21 16:00",,0.2,3.6,23,1,121.15045,22.755358,62
恆春,屏東縣,39,,良好,0.2,0.13,,42.9,,,1.1,1.6,0.4,8.8,28,"2024-11-21 16:00",,0.1,3.9,8,0,120.788928,21.958069,61
潮州,屏東縣,152,細懸浮微粒,對所有族群不健康,,0.72,107,81,96,67,15.7,16.5,0.7,2.5,189,"2024-11-21 16:00",,0.5,56.7,76,1,120.561175,22.523108,60
屏東,屏東縣,70,細懸浮微粒,普通,0.9,0.31,63.9,47.0,37,24,6.7,7.8,1.1,2.6,329,"2024-11-21 16:00",,0.3,23.3,46,0,120.488033,22.673081,59
小港,高雄市,91,細懸浮微粒,普通,1.2,0.38,70.1,42.3,55,33,16.8,18.1,1.3,3.2,292,"2024-11-21 16:00",,0.5,31.9,56,2,120.337736,22.565833,58
前鎮,高雄市,100,細懸浮微粒,普通,0.8,0.33,56.7,45.3,73,29,12.5,13.9,1.4,2.6,356,"2024-11-21 16:00",,0.5,35.2,61,1,120.30833356,22.6044507,57
前金,高雄市,88,細懸浮微粒,普通,,,47.2,,94,,,,,3.6,343,"2024-11-21 16:00",,0.4,30.6,75,1,120.28676111,22.63390278,56
左營,高雄市,83,細懸浮微粒,普通,1.4,0.32,64.7,46.3,58,28,10.4,11.6,1.1,2.1,321,"2024-11-21 16:00",,0.4,28.4,56,1,120.292917,22.674861,54
楠梓,高雄市,84,細懸浮微粒,普通,1.6,0.29,63.7,43.5,59,28,10.8,11.8,1,2.6,35,"2024-11-21 16:00",,0.3,28.7,49,1,120.328289,22.733667,53
林園,高雄市,112,細懸浮微粒,對敏感族群不健康,2.5,0.3,66.8,54.2,66,31,14.1,14.5,0.4,1.9,230,"2024-11-21 16:00",,0.5,39.7,68,3,120.41175,22.4795,52
大寮,高雄市,109,細懸浮微粒,對敏感族群不健康,1.6,0.32,69.1,54.2,41,39,14.6,15.5,0.8,2.3,336,"2024-11-21 16:00",,0.5,38.6,45,2,120.425311,22.56413611,51
鳳山,高雄市,100,細懸浮微粒,普通,1.5,0.59,59.3,45.2,56,33,18.3,20.7,2.3,1.1,258,"2024-11-21 16:00",,0.6,35.3,58,2,120.357422,22.628126,50
仁武,高雄市,95,細懸浮微粒,普通,0.9,0.31,62.5,44.7,45,30,12.7,13.7,0.9,3.4,343,"2024-11-21 16:00",,0.5,33.3,48,1,120.332631,22.689056,49
橋頭,高雄市,84,細懸浮微粒,普通,1.3,0.29,58.1,42.1,59,30,13.5,14.7,1.1,2.7,352,"2024-11-21 16:00",,0.3,28.9,48,1,120.305689,22.757506,48
美濃,高雄市,52,細懸浮微粒,普通,1.5,0.3,60.9,38.9,42,19,6,7.1,1,1.4,315,"2024-11-21 16:00",,0.2,16,36,1,120.530542,22.883583,47
臺南,臺南市,52,細懸浮微粒,普通,1.4,0.22,51.9,40.7,75,13,7.9,9.4,1.4,3.6,359,"2024-11-21 16:00",,0.2,16,47,1,120.21947897,22.98928311,46
安南,臺南市,55,懸浮微粒,普通,1.6,0.22,51.1,40.3,89,15,5.8,6.6,0.8,4.5,316,"2024-11-21 16:00",,0.2,15.9,55,1,120.2175,23.048197,45
善化,臺南市,57,細懸浮微粒,普通,1.7,0.2,46.9,38.6,89,16,7.8,8.8,0.9,5.1,354,"2024-11-21 16:00",,0.2,18,49,1,120.29740529,23.11337642,44
新營,臺南市,54,細懸浮微粒,普通,2,0.26,,35.6,,20,9.5,12.4,2.8,4.6,14,"2024-11-21 16:00",,0.2,16.7,53,1,120.31725,23.305633,43
嘉義,嘉義市,52,細懸浮微粒,普通,2,0.25,38.5,35,82,16,12.1,13.9,1.7,4.4,11,"2024-11-21 16:00",,0.2,15.8,36,3,120.44125148,23.46477865,42
臺西,雲林縣,40,,良好,0.8,0.16,44.7,43.2,34,5,3,3.4,0.3,10.4,23,"2024-11-21 16:00",,0.1,6,29,0,120.19933333,23.702175,41
朴子,嘉義縣,70,懸浮微粒,普通,2.8,0.21,41.9,39.3,129,11,6.7,8.4,1.7,3,342,"2024-11-21 16:00",,0.2,8.5,70,1,120.2478,23.46538,40
新港,嘉義縣,107,懸浮微粒,對敏感族群不健康,2.5,0.23,41.1,41.0,332,29,7.9,9.2,1.2,4.6,18,"2024-11-21 16:00",,0.2,16,120,1,120.345531,23.554839,39
崙背,雲林縣,118,懸浮微粒,對敏感族群不健康,1.1,0.23,35.5,35.5,386,29,7.6,9,1.3,3,9,"2024-11-21 16:00",,0.2,17.4,154,0,120.348742,23.757547,38
斗六,雲林縣,39,,良好,1.5,0.21,39.7,38.9,66,14,9.3,11.5,2.2,3.2,342,"2024-11-21 16:00",,0.2,12,30,1,120.544994,23.711853,37
南投,南投縣,31,,良好,1.8,0.24,31.6,33.1,29,7,12.8,15.7,2.8,2.6,343,"2024-11-21 16:00",,0.2,7.8,21,1,120.685306,23.913,36
二林,彰化縣,23,,良好,1.6,0.2,15.7,17.2,24,6,6.9,8.7,1.7,6.7,32,"2024-11-21 16:00",,0.2,6.5,23,1,120.409653,23.925175,35
線西,彰化縣,32,,良好,1,0.18,36.8,36.0,18,6,8.2,10.6,2.4,8.1,36,"2024-11-21 16:00",,0.2,5,20,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.8,0.22,30.7,28.5,15,8,10.5,14.4,3.9,3.8,26,"2024-11-21 16:00",,0.2,6.1,15,0,120.541519,24.066,33
西屯,臺中市,29,,良好,1.2,0.18,31.7,32.0,16,5,,,,4.3,10,"2024-11-21 16:00",,0.1,5.5,15,1,120.616917,24.162197,32
忠明,臺中市,25,,良好,1.3,0.24,27.3,27.7,15,4,11,15,3.9,2,350,"2024-11-21 16:00",,0.2,5,11,1,120.641092,24.151958,31
大里,臺中市,26,,良好,1,0.24,27.8,28.1,13,8,9.8,12.8,2.9,2.9,6,"2024-11-21 16:00",,0.2,6,11,1,120.67844444,24.09961111,30
沙鹿,臺中市,31,,良好,1.1,0.18,35,33.7,18,6,6.7,8.1,1.4,5,30,"2024-11-21 16:00",,0.1,5.6,12,1,120.568794,24.225628,29
豐原,臺中市,10,,良好,1,0.2,30.4,,7,2,6.1,7.9,1.8,2.4,31,"2024-11-21 16:00",,0.2,1.5,6,1,120.74252414,24.25699731,28
三義,苗栗縣,26,,良好,0.8,0.17,31.9,28.5,3,2,5.2,6.3,1,6.1,14,"2024-11-21 16:00",,0.1,3.9,3,0,120.75956754,24.38248443,27
苗栗,苗栗縣,29,,良好,1.3,0.2,30.8,31.2,8,7,9.2,11,1.8,4.2,18,"2024-11-21 16:00",,0.1,4.5,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,30,,良好,1.2,0.21,30.5,32.8,14,6,10.4,12.7,2.2,2.8,23,"2024-11-21 16:00",,0.2,4.4,8,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,1.2,0.21,32.6,33.2,8,0,9.4,11.1,1.7,4.7,35,"2024-11-21 16:00",,0.2,1.3,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.7,0.15,37.8,37,3,4,3.8,4.6,0.7,5.6,34,"2024-11-21 16:00",,0.1,2.2,2,0,121.08895493,24.74091408,23
湖口,新竹縣,31,,良好,1.2,0.18,34.9,34.6,5,3,6.8,8.5,1.6,6.7,46,"2024-11-21 16:00",,0.1,2.3,6,1,121.03886894,24.90009696,22
龍潭,桃園市,28,,良好,0.7,0.22,28.1,30.6,7,2,12.3,14.4,2.1,4.4,61,"2024-11-21 16:00",,0.2,2.6,5,0,121.21645772,24.86400048,21
平鎮,桃園市,33,,良好,0.9,0.29,22.2,24.9,10,7,20.5,23.1,2.6,2.7,60,"2024-11-21 16:00",,0.2,4.3,7,0,121.203986,24.952786,20
